,X,RefNum,agerange,age,job,marital,education,balance,housing,loan,month,date,duration,deposit,lead,product,qualified,contacted,won,loanvalue,NPS,contacted_and_won,qualified_and_contacted,lead_and_qualified
195,195,10023661,31-40,34,blue-collar,married,secondary,243,yes,no,march,3/1/2018,291,78.85,1,unsecured ,1,1,1,2298,10,1,1,1
196,196,10023662,31-40,33,blue-collar,single,secondary,307,yes,no,april,4/1/2018,309,62.97,1,unsecured ,1,1,1,3397,10,1,1,1
197,197,10023663,31-40,38,services,married,secondary,155,yes,no,may,5/1/2018,248,47.27,1,unsecured ,1,1,1,2106,10,1,1,1
198,198,10023664,41-60,50,technician,divorced,tertiary,173,no,yes,june,6/1/2018,98,75.94,1,unsecured ,1,1,1,1526,10,1,1,1
199,199,10023665,41-60,43,management,married,tertiary,400,yes,yes,july,7/1/2018,256,218.17,1,unsecured ,1,1,1,2586,10,1,1,1
200,200,10023666,over 60,61,blue-collar,divorced,primary,1428,yes,no,august,8/1/2018,82,161.43,1,unsecured ,1,1,1,6530,10,1,1,1
201,201,10023667,41-60,47,admin.,married,secondary,219,yes,yes,september,9/1/2018,577,11.3,1,unsecured ,1,1,1,2476,10,1,1,1
202,202,10023668,41-60,48,self-employed,married,tertiary,7,yes,yes,october,10/1/2018,286,18.31,1,unsecured ,1,1,1,4384,10,1,1,1
203,203,10023669,41-60,44,blue-collar,married,secondary,575,yes,yes,november,11/1/2018,477,119.5,1,auto ,1,1,1,4080,10,1,1,1
204,204,10023670,31-40,35,student,single,unknown,298,yes,no,december,12/1/2018,611,39.79,1,business,1,1,1,2127,10,1,1,1
205,205,10023671,31-40,35,services,married,secondary,0,yes,no,january,1/1/2018,471,58.46,1,business,1,1,1,5699,10,1,1,1
206,206,10023672,41-60,50,services,married,secondary,5699,yes,yes,february,2/1/2018,381,289.11,1,business,1,1,1,3237,10,1,1,1
207,207,10023673,41-60,41,management,married,tertiary,176,yes,yes,march,3/1/2018,42,87.08,1,business,1,1,1,2558,10,1,1,1
208,208,10023674,41-60,41,management,married,tertiary,517,yes,yes,april,4/1/2018,251,105.23,1,auto ,1,1,1,2298,10,1,1,1
209,209,10023675,31-40,39,services,single,unknown,257,yes,no,may,5/1/2018,408,34.63,1,auto ,1,1,1,3397,10,1,1,1
210,210,10023676,41-60,42,retired,married,secondary,56,yes,yes,june,6/1/2018,215,57.32,1,auto ,1,1,1,2106,10,1,1,1
211,211,10023677,31-40,38,blue-collar,married,secondary,-390,yes,no,july,7/1/2018,287,52.68,1,auto ,1,1,1,4384,10,1,1,1
212,212,10023678,41-60,53,retired,married,secondary,330,yes,yes,august,8/1/2018,216,73.23,1,auto ,1,1,1,4080,10,1,1,1
213,213,10023679,41-60,59,housemaid,divorced,primary,195,no,no,september,9/1/2018,366,69.94,1,auto ,1,1,1,2127,10,1,1,1
214,214,10023680,31-40,36,services,married,secondary,301,yes,no,october,10/1/2018,210,58.46,1,auto ,1,1,1,5699,10,1,1,1
215,215,10023681,41-60,54,blue-collar,married,primary,-41,yes,yes,november,11/1/2018,288,52.68,1,auto ,1,1,1,3237,10,1,1,1
216,216,10023682,31-40,40,technician,married,tertiary,483,yes,yes,december,12/1/2018,168,33.57,1,auto ,1,1,1,2558,10,1,1,1
217,217,10023683,41-60,47,unknown,married,unknown,28,no,yes,january,1/1/2018,338,5.51,1,auto ,1,1,1,2298,10,1,1,1
218,218,10023684,41-60,53,unemployed,married,unknown,13,no,yes,february,2/1/2018,410,32.33,1,unsecured ,1,1,1,3397,10,1,1,1
219,219,10023685,41-60,46,housemaid,married,primary,965,no,yes,march,3/1/2018,177,174.35,1,unsecured ,1,1,1,2106,10,1,1,1
220,220,10023686,31-40,39,management,married,tertiary,378,yes,yes,april,4/1/2018,127,83.06,1,unsecured ,1,1,1,2458,10,1,1,1
221,221,10023687,31-40,40,unemployed,married,secondary,219,yes,no,may,5/1/2018,357,76.9,1,unsecured ,1,1,1,2893,10,1,1,1
222,222,10023688,18-30,28,blue-collar,married,primary,324,yes,no,june,6/1/2018,175,52.68,1,unsecured ,1,1,1,4384,10,1,1,1
223,223,10023689,31-40,35,entrepreneur,divorced,secondary,-69,yes,no,july,7/1/2018,300,43.75,1,mortgage,1,1,1,4080,10,1,1,1
224,224,10023690,41-60,55,retired,married,secondary,0,no,yes,august,8/1/2018,136,57.32,1,mortgage,1,1,1,2127,10,1,1,1
225,225,10023691,41-60,43,technician,divorced,unknown,205,yes,no,september,9/1/2018,1419,68.91,1,mortgage,1,1,1,5699,10,1,1,1
226,226,10023692,41-60,48,blue-collar,married,primary,278,yes,yes,october,10/1/2018,125,157.07,1,mortgage,1,1,1,3237,10,1,1,1
227,227,10023693,41-60,58,management,married,unknown,1065,yes,yes,november,11/1/2018,213,54.93,1,mortgage,1,1,1,2558,10,1,1,1
228,228,10023694,31-40,33,management,single,tertiary,34,yes,no,december,12/1/2018,27,54.1,1,mortgage,1,1,1,2298,10,1,1,1
229,229,10023695,31-40,36,blue-collar,married,unknown,1033,no,no,january,1/1/2018,238,355.36,1,mortgage,1,1,1,3397,10,1,1,1
230,230,10023696,41-60,53,services,divorced,secondary,1467,yes,no,february,2/1/2018,124,58.46,1,mortgage,1,1,1,2106,10,1,1,1
231,231,10023697,41-60,47,blue-collar,married,primary,-12,yes,yes,march,3/1/2018,18,52.68,1,mortgage,1,1,1,6895,10,1,1,1
232,232,10023698,31-40,31,services,married,secondary,388,yes,no,april,4/1/2018,730,97.5,1,mortgage,1,1,1,7632,10,1,1,1
233,233,10023699,41-60,57,entrepreneur,married,secondary,294,yes,yes,may,5/1/2018,746,211.57,1,mortgage,1,1,1,9753,10,1,1,1
234,234,10023700,41-60,53,blue-collar,married,unknown,1827,no,yes,june,6/1/2018,121,308.97,1,mortgage,1,1,1,2257,10,1,1,1
235,235,10023701,41-60,55,blue-collar,married,primary,627,yes,yes,july,7/1/2018,247,36.14,1,mortgage,1,1,1,12353,10,1,1,1
236,236,10023702,41-60,45,blue-collar,married,primary,25,yes,yes,august,8/1/2018,40,25.62,1,unsecured ,1,1,1,2356,10,1,1,1
237,237,10023703,41-60,53,admin.,divorced,secondary,315,yes,no,september,9/1/2018,181,49.14,1,unsecured ,1,1,1,7654,10,1,1,1
238,238,10023704,31-40,37,blue-collar,married,primary,0,yes,no,october,10/1/2018,79,52.68,1,unsecured ,1,1,1,7854,10,1,1,1
239,239,10023705,41-60,44,admin.,divorced,secondary,66,yes,no,november,11/1/2018,206,49.14,1,unsecured ,1,1,1,8954,10,1,1,1
240,240,10023706,41-60,49,blue-collar,divorced,primary,-9,yes,no,december,12/1/2018,389,52.68,1,unsecured ,1,1,1,3678,10,1,1,1
241,241,10023707,41-60,46,technician,married,secondary,349,yes,yes,january,1/1/2018,127,53.93,1,unsecured ,1,1,1,4853,10,1,1,1
242,242,10023708,41-60,43,entrepreneur,married,unknown,100,yes,yes,february,2/1/2018,702,43.75,1,unsecured ,1,1,1,8675,10,1,1,1
243,243,10023709,31-40,38,admin.,married,secondary,0,no,no,march,3/1/2018,151,49.14,1,unsecured ,1,1,1,9764,10,1,1,1
244,244,10023710,41-60,43,technician,married,secondary,434,yes,yes,april,4/1/2018,117,342.16,1,unsecured ,1,1,1,2457,10,1,1,1
245,245,10023711,41-60,49,management,married,tertiary,3237,yes,yes,may,5/1/2018,232,272.36,1,unsecured ,1,1,1,3678,10,1,1,1
246,246,10023712,41-60,42,management,married,unknown,275,no,yes,june,6/1/2018,408,59.545,1,unsecured ,1,1,1,9765,10,1,1,1
247,247,10023713,18-30,22,blue-collar,single,secondary,0,yes,no,july,7/1/2018,179,52.68,1,unsecured ,1,1,1,7543,10,1,1,1
248,248,10023714,31-40,40,management,married,tertiary,207,yes,yes,august,8/1/2018,39,91.28,1,unsecured ,1,1,1,4080,10,1,1,1
249,249,10023715,31-40,39,blue-collar,married,secondary,483,yes,no,september,9/1/2018,282,300.8,1,unsecured ,1,1,1,2127,10,1,1,1
250,250,10023716,41-60,51,services,married,secondary,2248,yes,yes,october,10/1/2018,714,283.16,1,mortgage,1,1,1,5699,10,1,1,1
251,251,10023717,41-60,49,admin.,married,secondary,428,yes,yes,november,11/1/2018,50,49.14,1,mortgage,1,1,1,3237,10,1,1,1
252,252,10023718,41-60,53,blue-collar,married,secondary,0,yes,yes,december,12/1/2018,181,52.68,1,mortgage,1,1,1,2558,10,1,1,1
253,253,10023719,31-40,34,services,single,secondary,0,yes,no,january,1/1/2018,142,58.46,1,mortgage,1,1,1,2298,10,1,1,1
254,254,10023720,31-40,33,technician,divorced,secondary,140,yes,no,february,2/1/2018,227,58.86,1,mortgage,1,1,1,3397,10,1,1,1
255,255,10023721,41-60,50,management,single,tertiary,297,yes,yes,march,3/1/2018,119,83.1,1,mortgage,1,1,1,2106,10,1,1,1
256,256,10023722,31-40,39,blue-collar,married,primary,279,yes,no,april,4/1/2018,361,144.74,1,mortgage,1,1,1,6895,10,1,1,1
257,257,10023723,41-60,59,entrepreneur,divorced,secondary,901,yes,no,may,5/1/2018,73,388.683437366575,1,mortgage,1,1,1,7632,10,1,1,1
258,258,10023724,18-30,30,technician,single,secondary,2573,yes,no,june,6/1/2018,67,175.1,1,mortgage,1,1,1,9753,10,1,1,1
259,259,10023725,31-40,36,services,married,secondary,143,yes,no,july,7/1/2018,350,75.24,1,mortgage,1,1,1,2257,10,1,1,1
260,260,10023726,31-40,40,blue-collar,married,secondary,475,yes,no,august,8/1/2018,332,52.64,1,mortgage,1,1,1,12353,10,1,1,1
261,261,10023727,41-60,53,blue-collar,married,secondary,70,yes,yes,september,9/1/2018,611,43.07,1,mortgage,1,1,1,2356,10,1,1,1
262,262,10023728,31-40,34,management,single,tertiary,318,yes,no,october,10/1/2018,113,85.37,1,mortgage,1,1,1,7654,10,1,1,1
263,263,10023729,31-40,37,technician,married,secondary,275,yes,no,november,11/1/2018,132,130.4,1,mortgage,1,1,1,7854,10,1,1,1
264,264,10023730,41-60,42,management,divorced,tertiary,742,yes,yes,december,12/1/2018,58,120.8,1,auto ,1,1,1,8954,10,1,1,1
265,265,10023731,41-60,41,entrepreneur,married,primary,236,yes,yes,january,1/1/2018,151,22.17,1,auto ,1,1,1,3678,10,1,1,1
266,266,10023732,18-30,30,student,single,tertiary,25,yes,no,february,2/1/2018,89,35.36,1,auto ,1,1,1,4853,10,1,1,1
267,267,10023733,31-40,37,management,single,tertiary,600,yes,no,march,3/1/2018,152,59.545,1,auto ,1,1,1,8675,10,1,1,1
268,268,10023734,31-40,39,admin.,divorced,secondary,-349,yes,no,april,4/1/2018,611,49.14,1,auto ,1,1,1,9764,10,1,1,1
269,269,10023735,41-60,41,blue-collar,married,primary,183,yes,yes,may,5/1/2018,110,52.68,1,auto ,1,1,1,2457,10,1,1,1
270,270,10023736,31-40,40,blue-collar,married,primary,0,yes,no,june,6/1/2018,463,52.68,1,auto ,1,1,1,3678,10,1,1,1
271,271,10023737,41-60,42,management,single,tertiary,0,yes,yes,july,7/1/2018,562,59.545,1,auto ,1,1,1,9765,10,1,1,1
272,272,10023738,31-40,40,blue-collar,divorced,primary,0,yes,no,august,8/1/2018,962,52.68,1,auto ,1,1,1,7543,10,1,1,1
273,273,10023739,41-60,57,technician,married,secondary,1078,yes,yes,september,9/1/2018,10,118,1,auto ,1,1,1,4384,10,1,1,1
274,274,10023740,41-60,56,entrepreneur,divorced,secondary,155,no,no,october,10/1/2018,118,49.54,1,auto ,1,1,1,4080,10,1,1,1
275,275,10023741,31-40,37,admin.,married,secondary,190,yes,no,november,11/1/2018,92,71.07,1,auto ,1,1,1,2127,10,1,1,1
276,276,10023742,41-60,59,retired,married,secondary,319,yes,yes,december,12/1/2018,143,57.32,1,auto ,1,1,1,5699,10,1,1,1
277,277,10023743,31-40,39,services,divorced,secondary,-185,yes,no,january,1/1/2018,189,58.46,1,auto ,1,1,1,3237,10,1,1,1
278,278,10023744,41-60,49,services,married,secondary,47,no,yes,february,2/1/2018,234,47.25,1,auto ,1,1,1,2558,10,1,1,1
279,279,10023745,31-40,38,services,single,secondary,570,yes,no,march,3/1/2018,75,30.04,1,mortgage,1,1,1,2298,10,1,1,1
280,280,10023746,31-40,36,self-employed,married,tertiary,19,no,yes,april,4/1/2018,189,9.83,1,mortgage,1,1,1,3397,10,1,1,1
281,281,10023747,41-60,50,blue-collar,married,primary,61,yes,yes,may,5/1/2018,621,52.68,1,mortgage,1,1,1,2106,10,1,1,1
282,282,10023748,41-60,41,admin.,married,secondary,-62,yes,yes,june,6/1/2018,55,49.14,1,mortgage,1,1,1,6895,10,1,1,1
283,283,10023749,41-60,54,technician,married,tertiary,258,no,yes,july,7/1/2018,310,40.42,1,mortgage,1,1,1,7632,10,1,1,1
284,284,10023750,41-60,58,blue-collar,married,primary,76,yes,yes,august,8/1/2018,156,52.68,1,mortgage,1,1,1,9753,10,1,1,1
285,285,10023751,18-30,30,blue-collar,single,secondary,0,yes,no,september,9/1/2018,5,52.68,1,mortgage,1,1,1,2257,10,1,1,1
286,286,10023752,31-40,33,admin.,single,secondary,352,yes,no,october,10/1/2018,225,103.9,1,mortgage,1,1,1,12353,10,1,1,1
287,287,10023753,41-60,47,admin.,married,secondary,368,yes,yes,november,11/1/2018,125,101.96,1,mortgage,1,1,1,2356,10,1,1,1
288,288,10023754,41-60,50,technician,single,tertiary,339,yes,yes,december,12/1/2018,2,193.91,1,mortgage,0,-1,0,7654,7,0,0,0
289,289,10023755,31-40,32,blue-collar,married,secondary,1331,yes,no,january,1/1/2018,286,273.01,1,mortgage,0,-1,0,7854,7,0,0,0
290,290,10023756,31-40,40,self-employed,married,secondary,672,yes,no,february,2/1/2018,164,56.99,1,mortgage,0,-1,0,8954,7,0,0,0
291,291,10023757,31-40,37,management,married,tertiary,58,yes,yes,march,3/1/2018,98,46.48,1,mortgage,0,-1,0,3678,7,0,0,0
292,292,10023758,41-60,54,technician,single,unknown,447,yes,no,april,4/1/2018,742,125.53,1,mortgage,0,-1,0,4853,7,0,0,0
293,293,10023759,18-30,24,student,single,secondary,423,yes,no,may,5/1/2018,226,39.79,1,mortgage,0,-1,0,8675,7,0,0,0
294,294,10023760,41-60,54,management,married,tertiary,0,no,yes,june,6/1/2018,120,59.545,1,mortgage,1,-1,0,9764,7,0,-1,1
295,295,10023761,31-40,34,technician,married,secondary,19,yes,no,july,7/1/2018,362,4.54,1,mortgage,1,-1,0,2457,7,0,-1,1
296,296,10023762,41-60,56,technician,divorced,primary,13,yes,no,august,8/1/2018,357,1.8,1,mortgage,1,-1,0,3678,7,0,-1,1
297,297,10023763,31-40,31,blue-collar,single,secondary,3,yes,no,september,9/1/2018,200,4.53,1,mortgage,1,-1,0,9765,7,0,-1,1
298,298,10023764,18-30,24,student,single,secondary,82,yes,no,october,10/1/2018,204,13.83,1,mortgage,1,-1,0,7543,7,0,-1,1
299,299,10023765,41-60,42,blue-collar,divorced,primary,28,yes,no,november,11/1/2018,126,42.99,1,mortgage,1,-1,0,6895,7,0,-1,1
300,300,10023766,41-60,57,technician,married,secondary,792,yes,yes,december,12/1/2018,65,164.1,1,mortgage,1,-1,0,7632,7,0,-1,1
301,301,10023767,41-60,42,blue-collar,married,unknown,408,yes,yes,january,1/1/2018,107,134.37,1,mortgage,0,-1,0,9753,7,0,0,0
302,302,10023768,41-60,51,admin.,married,secondary,531,yes,yes,february,2/1/2018,267,96.63,1,unsecured ,1,-1,0,2257,7,0,-1,1
303,303,10023769,41-60,57,retired,married,secondary,211,yes,yes,march,3/1/2018,248,33.02,1,unsecured ,0,-1,0,12353,7,0,0,0
304,304,10023770,31-40,36,services,single,secondary,62,yes,no,april,4/1/2018,215,36.44,1,unsecured ,1,-1,0,2356,7,0,-1,1
305,305,10023771,41-60,53,services,married,unknown,257,yes,yes,may,5/1/2018,209,162.57,1,unsecured ,0,-1,0,7654,7,0,0,0
306,306,10023772,41-60,50,technician,married,secondary,1234,yes,yes,june,6/1/2018,205,179.41,1,unsecured ,1,-1,0,7854,7,0,-1,1
307,307,10023773,41-60,54,management,married,tertiary,313,yes,yes,july,7/1/2018,83,48.18,1,unsecured ,0,-1,0,8954,7,0,0,0
308,308,10023774,41-60,55,blue-collar,married,secondary,89,yes,yes,august,8/1/2018,106,30.93,1,unsecured ,1,-1,0,3678,7,0,-1,1
309,309,10023775,41-60,44,blue-collar,married,secondary,129,yes,yes,september,9/1/2018,189,52.68,1,unsecured ,0,-1,0,4853,7,0,0,0
310,310,10023776,41-60,43,management,married,unknown,0,yes,yes,october,10/1/2018,105,59.545,1,unsecured ,1,-1,0,8675,7,0,-1,1
311,311,10023777,41-60,56,admin.,married,secondary,353,yes,yes,november,11/1/2018,106,158.22,1,unsecured ,0,-1,0,9764,7,0,0,0
312,312,10023778,41-60,54,technician,married,unknown,851,yes,yes,december,12/1/2018,108,82.51,1,unsecured ,1,-1,0,2457,7,0,-1,1
313,313,10023779,41-60,55,services,divorced,primary,96,yes,no,january,1/1/2018,311,56.43,1,unsecured ,1,-1,0,3678,7,0,-1,1
314,314,10023780,31-40,37,services,divorced,secondary,398,yes,no,february,2/1/2018,214,80.01,1,unsecured ,1,-1,0,9765,7,0,-1,1
315,315,10023781,31-40,33,admin.,single,tertiary,193,no,no,march,3/1/2018,132,49.14,1,auto ,1,-1,0,7543,7,0,-1,1
316,316,10023782,41-60,46,admin.,married,secondary,-358,yes,yes,april,4/1/2018,358,49.14,1,auto ,1,-1,0,4384,7,0,-1,1
317,317,10023783,31-40,36,blue-collar,married,secondary,539,yes,no,may,5/1/2018,453,52.68,1,auto ,1,1,1,4080,10,1,1,1
318,318,10023784,41-60,51,technician,single,secondary,0,yes,no,june,6/1/2018,364,52.94,1,auto ,1,1,1,2127,10,1,1,1
319,319,10023785,31-40,40,retired,single,primary,0,no,no,july,7/1/2018,136,57.32,1,auto ,1,1,1,5699,10,1,1,1
320,320,10023786,41-60,42,blue-collar,married,secondary,490,yes,yes,august,8/1/2018,386,52.68,1,auto ,1,1,1,3237,10,1,1,1
321,321,10023787,41-60,51,blue-collar,married,secondary,0,yes,yes,september,9/1/2018,173,52.68,1,auto ,1,1,1,2558,10,1,1,1
322,322,10023788,41-60,49,blue-collar,married,unknown,403,yes,yes,october,10/1/2018,241,73.53,1,auto ,1,1,1,2298,10,1,1,1
323,323,10023789,41-60,48,management,married,secondary,161,yes,yes,november,11/1/2018,224,185.26,1,auto ,1,1,1,3397,10,1,1,1
324,324,10023790,31-40,32,technician,divorced,tertiary,2558,no,no,december,12/1/2018,148,144.53,1,auto ,1,1,1,2106,10,1,1,1
325,325,10023791,31-40,31,admin.,single,secondary,98,yes,no,january,1/1/2018,196,30.65,1,auto ,1,1,1,4080,10,1,1,1
326,326,10023792,41-60,55,management,single,tertiary,115,no,yes,february,2/1/2018,111,64.64,1,auto ,1,1,1,2127,10,1,1,1
327,327,10023793,31-40,40,blue-collar,single,secondary,436,yes,no,march,3/1/2018,231,173.76,1,auto ,1,1,1,5699,10,1,1,1
328,328,10023794,41-60,47,technician,married,tertiary,831,yes,yes,april,4/1/2018,316,119.44,1,auto ,1,1,1,3237,10,1,1,1
329,329,10023795,41-60,57,technician,married,unknown,206,yes,yes,may,5/1/2018,216,70.56,1,auto ,1,1,1,2558,10,1,1,1
330,330,10023796,41-60,41,blue-collar,married,secondary,290,yes,yes,june,6/1/2018,240,4.92,1,auto ,1,1,1,2298,10,1,1,1
331,331,10023797,41-60,48,blue-collar,married,secondary,1,no,yes,july,7/1/2018,669,2.18,1,auto ,1,1,1,2586,10,1,1,1
332,332,10023798,41-60,42,blue-collar,married,unknown,57,yes,yes,august,8/1/2018,425,52.68,1,auto ,1,1,1,6530,10,1,1,1
333,333,10023799,18-30,30,blue-collar,single,secondary,-457,yes,no,september,9/1/2018,143,52.68,1,mortgage,1,1,1,2476,10,1,1,1
334,334,10023800,41-60,58,management,single,tertiary,1387,yes,yes,october,10/1/2018,174,388.683437366575,1,mortgage,1,1,1,4384,10,1,1,1
335,335,10023801,41-60,45,management,divorced,tertiary,24598,yes,yes,november,11/1/2018,313,247.98,1,mortgage,1,1,1,4080,10,1,1,1
336,336,10023802,41-60,49,blue-collar,married,secondary,30,yes,yes,december,12/1/2018,135,50.55,1,mortgage,1,1,1,2127,10,1,1,1
337,337,10023803,41-60,42,admin.,single,secondary,1022,yes,no,january,1/1/2018,146,69.06,1,mortgage,1,1,1,5699,10,1,1,1
338,338,10023804,41-60,53,technician,married,secondary,56,yes,yes,february,2/1/2018,152,52.94,1,mortgage,1,1,1,3237,10,1,1,1
339,339,10023805,41-60,51,admin.,single,secondary,-2,no,no,march,3/1/2018,402,49.14,1,mortgage,1,1,1,2558,10,1,1,1
340,340,10023806,31-40,32,services,single,secondary,121,yes,no,april,4/1/2018,213,92.14,1,mortgage,1,1,1,2298,10,1,1,1
341,341,10023807,41-60,41,blue-collar,single,secondary,842,yes,no,may,5/1/2018,144,220.51,1,mortgage,1,1,1,3397,10,1,1,1
342,342,10023808,41-60,43,management,divorced,secondary,693,yes,no,june,6/1/2018,124,59.545,1,mortgage,1,1,1,2106,10,1,1,1
343,343,10023809,31-40,40,blue-collar,divorced,secondary,-333,yes,no,july,7/1/2018,183,52.68,1,mortgage,1,1,1,6895,10,1,1,1
344,344,10023810,41-60,50,blue-collar,married,primary,1533,yes,yes,august,8/1/2018,325,76.66,1,mortgage,1,1,1,7632,10,1,1,1
345,345,10023811,31-40,34,management,married,tertiary,46,yes,yes,september,9/1/2018,39,8.31,1,mortgage,1,1,1,9753,10,1,1,1
346,346,10023812,41-60,53,services,married,unknown,18,no,yes,october,10/1/2018,503,8.12,1,mortgage,1,1,1,2257,10,1,1,1
347,347,10023813,41-60,45,technician,married,secondary,44,yes,yes,november,11/1/2018,95,52.94,1,mortgage,1,1,1,12353,10,1,1,1
348,348,10023814,31-40,39,blue-collar,married,primary,-100,yes,no,december,12/1/2018,680,52.68,1,unsecured ,1,1,1,2356,10,1,1,1
349,349,10023815,41-60,44,services,married,tertiary,510,yes,yes,january,1/1/2018,421,170.62,1,unsecured ,1,1,1,7654,10,1,1,1
350,350,10023816,41-60,55,management,married,tertiary,685,yes,yes,february,2/1/2018,174,103.32,1,unsecured ,1,1,1,7854,10,1,1,1
351,351,10023817,41-60,46,management,single,tertiary,187,yes,yes,march,3/1/2018,113,32.07,1,unsecured ,1,1,1,8954,10,1,1,1
352,352,10023818,41-60,45,blue-collar,married,secondary,66,yes,yes,april,4/1/2018,808,55.5,1,unsecured ,1,1,1,3678,10,1,1,1
353,353,10023819,31-40,34,admin.,married,secondary,560,yes,no,may,5/1/2018,198,49.14,1,unsecured ,1,1,1,4853,10,1,1,1
354,354,10023820,31-40,36,blue-collar,married,secondary,0,yes,no,june,6/1/2018,195,52.68,1,unsecured ,1,1,1,8675,10,1,1,1
355,355,10023821,41-60,59,unknown,divorced,unknown,27,no,no,july,7/1/2018,347,5.2,1,unsecured ,1,1,1,9764,10,1,1,1
356,356,10023822,31-40,31,admin.,single,secondary,12,yes,no,august,8/1/2018,208,5.83,1,unsecured ,1,1,1,2457,10,1,1,1
357,357,10023823,41-60,44,blue-collar,single,secondary,34,yes,no,september,9/1/2018,404,55.01,1,unsecured ,1,1,1,3678,10,1,1,1
358,358,10023824,31-40,33,entrepreneur,single,tertiary,1068,yes,no,october,10/1/2018,396,137.04,1,unsecured ,1,1,1,9765,10,1,1,1
359,359,10023825,31-40,40,blue-collar,married,secondary,211,yes,no,november,11/1/2018,216,81.42,1,business,1,1,1,7543,10,1,1,1
360,360,10023826,41-60,46,admin.,single,tertiary,377,yes,yes,december,12/1/2018,98,90.9,1,mortgage,1,1,1,3397,10,1,1,1
361,361,10023827,41-60,48,management,married,tertiary,263,yes,yes,january,1/1/2018,350,166.38,1,mortgage,1,1,1,2106,10,1,1,1
362,362,10023828,41-60,42,services,married,secondary,1263,yes,yes,february,2/1/2018,114,29.02,1,mortgage,1,1,1,2558,10,1,1,1
363,363,10023829,18-30,27,services,married,secondary,8,yes,no,march,3/1/2018,88,9.17,1,mortgage,1,1,1,2298,10,1,1,1
364,364,10023830,41-60,48,admin.,married,secondary,126,yes,yes,april,4/1/2018,379,49.14,1,mortgage,1,1,1,3397,10,1,1,1
365,365,10023831,41-60,59,admin.,married,secondary,230,yes,yes,may,5/1/2018,190,126.96,1,mortgage,1,1,1,2106,10,1,1,1
366,366,10023832,41-60,46,technician,married,tertiary,841,yes,yes,june,6/1/2018,158,146.92,1,mortgage,1,1,1,4853,10,1,1,1
367,367,10023833,31-40,38,admin.,divorced,secondary,308,yes,no,july,7/1/2018,102,5.07,1,mortgage,1,-1,0,8675,7,0,-1,1
368,368,10023834,41-60,43,management,divorced,tertiary,1,yes,yes,august,8/1/2018,306,2.68,1,auto ,1,-1,0,9764,7,0,-1,1
369,369,10023835,31-40,38,admin.,divorced,tertiary,86,yes,no,september,9/1/2018,218,33.54,1,auto ,1,-1,0,2457,7,0,-1,1
370,370,10023836,18-30,23,student,single,secondary,157,yes,no,october,10/1/2018,54,16.97,1,auto ,1,-1,0,3678,7,0,-1,1
371,371,10023837,31-40,34,services,married,secondary,22,yes,no,november,11/1/2018,344,9.18,1,auto ,1,-1,0,9765,7,0,-1,1
372,372,10023838,31-40,38,admin.,married,secondary,46,yes,no,december,12/1/2018,195,70.4,1,auto ,1,-1,0,7543,7,0,-1,1
373,373,10023839,31-40,37,blue-collar,married,secondary,1293,no,no,january,1/1/2018,652,114.65,0,no product,0,0,0,6689,7,0,0,1
374,374,10023840,18-30,25,admin.,single,secondary,122,yes,no,february,2/1/2018,286,36.49,0,no product,0,0,0,4376,7,0,0,1
375,375,10023841,41-60,48,blue-collar,married,unknown,131,yes,yes,march,3/1/2018,189,39.51,0,no product,0,0,0,6895,7,0,0,1
376,376,10023842,41-60,49,blue-collar,single,secondary,143,yes,no,april,4/1/2018,83,68.43,0,no product,0,0,0,7632,7,0,0,1
377,377,10023843,31-40,38,admin.,single,secondary,393,no,no,may,5/1/2018,184,56.65,0,no product,0,0,0,9753,7,0,0,1
378,378,10023844,41-60,43,blue-collar,married,primary,98,yes,yes,june,6/1/2018,235,52.68,0,no product,0,0,0,2257,7,0,0,1
379,379,10023845,31-40,33,management,married,tertiary,0,yes,yes,july,7/1/2018,290,59.545,0,no product,0,0,0,6895,7,0,0,1
380,380,10023846,41-60,55,blue-collar,married,secondary,224,yes,yes,august,8/1/2018,232,118.87,0,no product,0,0,0,6895,7,0,0,1
381,381,10023847,31-40,38,blue-collar,married,secondary,757,yes,no,september,9/1/2018,133,124.32,0,no product,0,0,0,7632,7,0,0,1
382,382,10023848,41-60,49,services,married,secondary,245,yes,yes,october,10/1/2018,318,388.683437366575,0,no product,0,0,0,6895,7,0,0,1
383,383,10023849,31-40,40,management,married,secondary,8486,no,no,november,11/1/2018,260,388.683437366575,0,no product,0,0,0,7632,7,0,0,1
384,384,10023850,41-60,43,admin.,married,unknown,350,no,yes,december,12/1/2018,437,24.15,0,no product,0,0,0,9753,7,0,0,1
385,385,10023851,31-40,38,blue-collar,married,secondary,20,yes,no,january,1/1/2018,402,52.71,1,mortgage,1,-1,0,8675,7,0,-1,1
386,386,10023852,41-60,58,services,married,secondary,1667,yes,yes,february,2/1/2018,85,218.92,1,mortgage,1,-1,0,9764,7,0,-1,1
387,387,10023853,41-60,57,technician,married,unknown,345,yes,yes,march,3/1/2018,125,16.96,1,mortgage,1,1,1,2457,10,1,1,1
388,388,10023854,31-40,32,unemployed,married,secondary,10,yes,no,april,4/1/2018,501,26.3,1,mortgage,1,1,1,3678,10,1,1,1
389,389,10023855,41-60,56,management,married,tertiary,830,yes,yes,may,5/1/2018,1201,44.79,1,mortgage,1,1,1,9765,10,1,1,1
